EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,Shift,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1313919,0.45293333832704824,0,2,0.7508373242857086,0,-1.0081260494441964,1,1,-0.6514699924733778,0,1.412260103210276,0.3852873690998294,1,2,1.1428509740689161,2,-0.11074835219782746,0.7275015249752336,2.1549390579049432,1,-1.1512662297248153,-1.5942787352644854,0,-0.4262795510998648,-2.178096807718184,-2.5152541616535222,-0.16949055273421212,-0.07305273040446193,-0.6815527941602323,0.24294902092521348
1200302,1.3295110231262786,0,1,-1.2991054954904346,1,-0.14982889327008092,0,1,0.2599354394008972,1,-0.22127849868770666,-1.0154536951329571,1,3,-0.6692760198189774,1,-0.2933148095416955,1.488074185422379,-0.6710999570001308,0,2.140497547958649,1.1890662233847618,1,-0.17093840469408447,0.15101224145387654,0.33310122681357485,0.48655140195987456,0.7542200814730925,-0.37182327056680786,0.8049677359985854
1060315,0.014644495927433065,1,2,1.4258488724744507,1,-0.8855121699907513,1,4,1.1713408712751723,1,1.3132577637013074,-1.0154536951329571,0,2,0.2367874771249693,2,-0.9364226082964564,-1.666172527791639,1.3474993393606363,1,-0.05401163716366061,-0.666497082381403,0,-0.553950124302755,0.15101224145387654,0.33310122681357485,-1.1535534847753421,-1.1760831462412011,-0.6815527941602323,-1.1620977667582162
1272912,-0.4236443464721821,0,1,1.4731744053732925,1,-0.7628982905373063,3,1,1.1713408712751723,0,-0.46878434746012826,0.3852873690998294,0,3,0.2367874771249693,1,-0.7631642901450916,1.2431440066343151,-0.6710999570001308,1,-1.1512662297248153,0.2612845705016794,0,-0.4262795510998648,0.15101224145387654,0.33310122681357485,0.1585304246128312,0.7542200814730925,0.24763577662004094,-1.1620977667582162
1414939,-1.0810776100716049,0,2,-0.521970428941034,1,-0.8855121699907513,0,3,-1.5628754243476528,1,-1.2608030635318774,0.3852873690998294,0,2,-0.6692760198189774,1,-0.6449086126766996,0.32857920288735165,2.5586589171770964,0,-0.8769525815845266,1.1890662233847618,1,-0.6816206975056451,0.15101224145387654,0.33310122681357485,-0.8255325074282989,-0.6245679383228315,-0.06209374697338346,-0.6000790516848443
1633361,-0.5332165570720859,0,1,0.5092280247495167,1,-0.8855121699907513,1,1,1.1713408712751723,1,0.6697425568930112,0.3852873690998294,0,2,1.1428509740689161,2,-0.7295280598812734,-0.33951409943615407,-1.0748198162722842,0,-0.6026389334442379,0.2612845705016794,0,-0.4262795510998648,-0.625357441603477,-1.0910764674199736,-0.005480064060690466,0.7542200814730925,0.24763577662004094,0.5239583784618994
1329390,2.4252331291253166,0,2,1.303798813945859,1,-0.7628982905373063,2,3,0.2599354394008972,0,0.7687448964019798,1.786028433332616,0,2,-1.5753395167629243,1,-0.8137244098498244,-0.6057425546405711,0.5400596208163294,1,1.3175566035377828,-1.5942787352644854,3,0.08440274171169587,0.15101224145387654,-1.0910764674199736,-0.9895429961018205,-1.1760831462412011,-0.6815527941602323,-1.1620977667582162
1699288,-0.7523609782718935,0,2,1.3884866096595756,1,1.8119931779850402,0,1,1.1713408712751723,1,0.07572851983919929,0.3852873690998294,0,2,0.2367874771249693,0,-0.8088587916355614,-0.1333972270121027,-0.6710999570001308,0,1.8661838998183602,-0.666497082381403,1,-1.319973563520096,-0.625357441603477,0.33310122681357485,-0.9895429961018205,-1.1760831462412011,-0.6815527941602323,-1.1620977667582162
1469740,0.12421670652733685,0,1,-1.4560269993129096,1,1.6893792985315952,2,1,1.1713408712751723,1,-1.0627983845139402,-1.0154536951329571,2,4,0.2367874771249693,2,0.6366529152365707,-0.7706640766277285,-1.0748198162722842,0,1.5918702516780714,-0.666497082381403,0,-0.17093840469408447,-0.625357441603477,0.33310122681357485,0.32254091328635287,0.7542200814730925,-0.37182327056680786,1.0859770935352713
1101291,-0.09492771467247073,0,2,1.2415283759210674,1,2.1798348163453753,2,3,0.2599354394008972,1,1.412260103210276,0.3852873690998294,1,2,0.2367874771249693,1,-0.27067910741447193,0.3208725897103817,1.3474993393606363,0,-0.6026389334442379,-0.666497082381403,2,0.7227556077261468,0.15101224145387654,-1.0910764674199736,-0.005480064060690466,0.7542200814730925,1.4865538709937387,0.8049677359985854
1430504,-0.2044999252723745,0,2,0.02102779063514971,1,0.8310821423574797,2,3,-1.5628754243476528,1,0.9172484056654328,1.786028433332616,0,2,-0.6692760198189774,1,-0.8653422726446144,0.30714080623141704,-1.0748198162722842,0,-0.6026389334442379,0.2612845705016794,1,-0.6816206975056451,1.7037516075685835,0.33310122681357485,-0.3335010414077338,-0.07305273040446193,-0.6815527941602323,-0.3190696941481584
1196281,-0.8619331888717973,0,2,-1.6129485031353847,1,0.7084682629040346,1,1,1.1713408712751723,0,-0.8152925357415185,-1.0154536951329571,1,2,0.2367874771249693,2,-0.4915358646184096,-0.2248957434586734,-1.0748198162722842,1,-0.8769525815845266,1.1890662233847618,0,-0.17093840469408447,0.15101224145387654,0.33310122681357485,0.32254091328635287,0.2027048735547229,-0.6815527941602323,1.0859770935352713
1207951,-0.6427887676719897,0,2,-0.3251958447826922,1,2.0572209368919303,0,1,-1.5628754243476528,1,-1.7063135913222365,0.3852873690998294,0,3,0.2367874771249693,0,-0.7627411929090686,0.12372341261953175,-0.6710999570001308,0,0.49461565911691674,1.1890662233847618,1,-0.8092912707085353,-1.4017271246608305,-1.0910764674199736,-0.3335010414077338,-0.6245679383228315,0.5573653002134653,-0.3190696941481584
1080660,-0.3140721358722783,0,2,1.3585967994076757,1,1.1989237807178148,1,3,-0.6514699924733778,1,1.3627589334557917,0.3852873690998294,0,2,1.1428509740689161,0,-0.8156283474119272,-0.7747275635755854,-1.0748198162722842,0,-1.1512662297248153,0.2612845705016794,1,-1.0646324171143158,-0.625357441603477,0.33310122681357485,-0.8255325074282989,-0.6245679383228315,-0.37182327056680786,-0.6000790516848443
1420391,-0.971505399471701,1,2,-1.7374893791849682,1,1.8119931779850402,2,1,0.2599354394008972,1,-0.7657913659870342,-1.0154536951329571,0,2,0.2367874771249693,2,-0.9495386226131654,-0.18776387996963628,0.9437794800884828,1,-0.3283252853039493,-0.666497082381403,0,-0.6816206975056451,0.92738192451123,0.33310122681357485,-0.4975115300812555,-0.6245679383228315,-0.6815527941602323,-0.3190696941481584
